destination_continent,destination_name,origin_name,population,destination_lat,destination_lon,origin_lat,origin_lon
Africa,Seychelles,Mauritius,554,-4.583333,55.666667,-20.3,57.583333
Africa,Seychelles,Nepal,177,-4.583333,55.666667,28,84
Africa,Seychelles,Nigeria,137,-4.583333,55.666667,10,8
Africa,Seychelles,Pakistan,25,-4.583333,55.666667,30,70
Africa,Seychelles,Philippines,707,-4.583333,55.666667,13,122
Africa,Seychelles,Russian Federation,96,-4.583333,55.666667,60,100
Africa,Seychelles,Somalia,64,-4.583333,55.666667,6,48
Africa,Seychelles,South Africa,256,-4.583333,55.666667,-30,26
Africa,Seychelles,Spain,25,-4.583333,55.666667,40,-4
Africa,Seychelles,Sri Lanka,600,-4.583333,55.666667,7,81
Africa,Seychelles,Thailand,239,-4.583333,55.666667,15,100
Africa,Seychelles,Uganda,28,-4.583333,55.666667,2,33
Africa,Seychelles,United Kingdom,291,-4.583333,55.666667,54,-4
Africa,Somalia,Eritrea,34,6,48,15,39
Africa,Somalia,Ethiopia,"2,079",6,48,8,38
Africa,South Sudan,Central African Republic,"4,574",8,30,7,21
Africa,South Sudan,Chad,"5,184",8,30,15,19
Africa,South Sudan,The Democratic Republic of the Congo,"82,755",8,30,0,25
Africa,South Sudan,Egypt,"5,145",8,30,27,30
Africa,South Sudan,Eritrea,"3,318",8,30,15,39
Africa,South Sudan,Ethiopia,"12,786",8,30,8,38
Africa,South Sudan,India,"1,414",8,30,20,77
Africa,South Sudan,Kenya,"9,558",8,30,1,38
Africa,South Sudan,Libya,153,8,30,25,17
Africa,South Sudan,Mali,203,8,30,17,-4
Africa,South Sudan,Nigeria,"3,537",8,30,10,8
Africa,South Sudan,Sudan,"552,391",8,30,16,30
Africa,South Sudan,Uganda,"140,607",8,30,2,33
Africa,Uganda,Bangladesh,148,2,33,24,90
Africa,Uganda,Belgium,45,2,33,50.833333,4
Africa,Uganda,Burundi,"45,345",2,33,-3.5,30
Africa,Uganda,Cape Verde,275,2,33,16,-24
Africa,Uganda,China,423,2,33,35,105
Africa,Uganda,Democratic Peoples Republic of Korea ,154,2,33,40,127
Africa,Uganda,The Democratic Republic of the Congo,"303,580",2,33,0,25
Africa,Uganda,Denmark,180,2,33,56,10
Africa,Uganda,Eritrea,"3,529",2,33,15,39
Africa,Uganda,Ethiopia,"1,070",2,33,8,38
Africa,Uganda,France,257,2,33,46,2
Africa,Uganda,Germany,241,2,33,51.5,10.5
Africa,Uganda,Greece,42,2,33,39,22
Africa,Uganda,India,"4,065",2,33,20,77
Africa,Uganda,Italy,418,2,33,42.833333,12.833333
Africa,Uganda,Japan,210,2,33,36,138
Africa,Uganda,Kenya,"43,512",2,33,1,38
Africa,Uganda,Mozambique,30,2,33,-18.25,35
Africa,Uganda,Netherlands,221,2,33,52.5,5.75
Africa,Uganda,Pakistan,691,2,33,30,70
Africa,Uganda,Republic of Korea,180,2,33,37,127.5
Africa,Uganda,Russian Federation,316,2,33,60,100
Africa,Uganda,Rwanda,"76,861",2,33,-2,30
Africa,Uganda,Somalia,"28,586",2,33,6,48
Africa,Uganda,Spain,62,2,33,40,-4
Africa,Uganda,Sudan,"164,136",2,33,16,30
Africa,Uganda,United Kingdom,"1,241",2,33,54,-4
Africa,Uganda,United Republic of Tanzania,"25,321",2,33,-6,35
Africa,Uganda,United States,994,2,33,39.828175,-98.5795
Africa,United Republic of Tanzania,Angola,"1,249",-6,35,-12.5,18.5
Africa,United Republic of Tanzania,Botswana,141,-6,35,-22,24
Africa,United Republic of Tanzania,Burundi,"87,099",-6,35,-3.5,30
Africa,United Republic of Tanzania,Cape Verde,294,-6,35,16,-24
Africa,United Republic of Tanzania,Comoros,596,-6,35,-12.166667,44.25
Africa,United Republic of Tanzania,Cook Islands,"25,017",-6,35,-16.083333,-161.583333
